data,method,cl,hl,ft_method,rank,alpha,dropout,target_modules,lr,epochs,batch_size,mae,mse,wape,smape,mae_scl,mse_scl,wape_scl,smape_scl,tr_time,inf_time,tr_params_ratio
Exchange,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,0.1145,0.0196,14.87,16.0,2.0571,6.3366,80.03,119.35,591.1754772663116,0.37688183784484863,0.002208788493316344
Solar,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,15.7276,302.4258,217.41,149.14,1.3348,2.1782,159.39,163.62,4141.875701904297,13.080811500549316,0.001326445030598047
Solar,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,15.7276,302.4258,217.41,149.14,1.3348,2.1782,159.39,163.62,4063.7647445201874,13.749626636505127,0.000884687850332933
Solar,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,15.7276,302.4258,217.41,149.14,1.3348,2.1782,159.39,163.62,4810.940231084824,15.578135251998901,0.002208788493316344
Solar,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,15.5224,291.866,214.58,148.47,1.3173,2.1021,157.31,162.37,4147.768499851227,6.714881896972656,0.001326445030598047
Solar,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,15.5224,291.866,214.58,148.47,1.3173,2.1021,157.31,162.37,4047.7977299690247,6.7628333568573,0.000884687850332933
Solar,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,15.5224,291.866,214.58,148.47,1.3173,2.1021,157.31,162.37,4812.532030820847,7.771512031555176,0.002208788493316344
Solar,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,15.6818,303.3307,216.78,148.5,1.3309,2.1847,158.93,162.06,4128.045917272568,3.9427382946014404,0.001326445030598047
Solar,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,15.6818,303.3307,216.78,148.5,1.3309,2.1847,158.93,162.06,4039.3572964668274,3.93274188041687,0.000884687850332933
Solar,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,15.6818,303.3307,216.78,148.5,1.3309,2.1847,158.93,162.06,4793.907606124878,4.041718244552612,0.002208788493316344
Solar,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,16.5458,437.1858,228.72,151.89,1.4042,3.1488,167.68,161.86,4072.5110580921173,1.7834374904632568,0.001326445030598047
Solar,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,16.5458,437.1858,228.72,151.89,1.4042,3.1488,167.68,161.86,4007.832524061203,1.8474211692810059,0.000884687850332933
Solar,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,16.5458,437.1858,228.72,151.89,1.4042,3.1488,167.68,161.86,4720.985915660858,1.888394832611084,0.002208788493316344
Weather,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,316.9098,101309.1,73.1,53.54,0.8254,0.6872,1365.06,175.55,4198.142124652863,12.94185471534729,0.001326445030598047
Weather,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,316.9098,101309.1,73.1,53.54,0.8254,0.6872,1365.06,175.55,4087.0351078510284,13.537291288375854,0.000884687850332933
Weather,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,316.9098,101309.1,73.1,53.54,0.8254,0.6872,1365.06,175.55,4826.001780509949,14.536378622055054,0.002208788493316344
Weather,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,315.9526,100666.22,72.88,53.42,0.8229,0.6828,1360.94,175.5,4151.759699583054,6.869801759719849,0.001326445030598047
Weather,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,315.9526,100666.22,72.88,53.42,0.8229,0.6828,1360.94,175.5,4068.135869026184,6.929482936859131,0.000884687850332933
Weather,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,315.9526,100666.22,72.88,53.42,0.8229,0.6828,1360.94,175.5,4816.967558145523,7.768719434738159,0.002208788493316344
Weather,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,315.6464,100440.66,72.81,53.39,0.8221,0.6813,1359.62,175.48,4145.870383739471,4.004721403121948,0.001326445030598047
Weather,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,315.6464,100440.66,72.81,53.39,0.8221,0.6813,1359.62,175.48,4067.3858840465546,3.869983673095703,0.000884687850332933
Weather,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,315.6464,100440.66,72.81,53.39,0.8221,0.6813,1359.62,175.48,4791.107880592346,4.493526220321655,0.002208788493316344
Weather,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,316.9916,101567.22,73.12,53.53,0.8256,0.689,1365.41,175.55,4096.55698633194,1.8563718795776367,0.001326445030598047
Weather,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,316.9916,101567.22,73.12,53.53,0.8256,0.689,1365.41,175.55,4197.334180831909,1.8274729251861572,0.000884687850332933
Weather,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,316.9916,101567.22,73.12,53.53,0.8256,0.689,1365.41,175.55,4930.292443037033,2.065343141555786,0.002208788493316344
Etth1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,1,16,17.1747,330.3394,265.16,117.35,2.0572,4.7397,173.44,197.78,139.30306243896484,4.5725626945495605,0.001326445030598047
